GCIS_KEY,PERIOD_ID,TARGET_F,MBNCZZ_CUST_INIT_TRAN_COUNT,MBNCZZ_CUR_OTH_DEP_AMT,CINCZZ_EXPLICIT_INCOME,MBNCZZ_CUR_SAL_CREDIT_AMT,MBNCZZ_ABS_SPOT_AMT,CPNCZZ_MFI_TRAN_COUNT,CUNCZZ_AGE_YEARS,CPNCZZ_REL_AGE_IN_MTH,MBNCZZ_DEP_SPOT_BAL_AMT,CFNCZZ_ACC_TO_FUNDS,CPBCZZ_ACCT_CLOSE_IND,MBNHMI_AVG_OTH_DEP_AMT,MBBHMI_EVERYDAY_BANKER_IND,TRNHDL_AVG_DEPOSIT_AMT,MBOHDL_QUALITY_DEP_IND,CONHDL_SECURITY_AMT,CFNHDL_CURRENT_LVR,MBNHIC_AVG_CUST_INIT_TRAN_C,CMNHDL_FULL_FI_AMT,TRNHSL_TOT_WITHDRAWAL_CNT
75525846,201803,1,10,28407.16,0,0,101526.78,10,0,126,101526.78,101526.78,0,325.37,0,4705.31,1,0,0,4.68,6.3,0.54
52192254,201804,0,27,0,5516.1,18769.4,14908.1,27,65,150,14908.1,14908.1,0,0,1,35.55,0,0,0,30.79,-3.31,-0.11
41739552,201807,1,86,9277.6,0,0,1407.01,86,0,288,1407.01,1407.01,0,16628.08,1,87.09,0,0,0,79.08,-1.26,-0.31
51975995,201806,0,54,5215.75,0,0,7.79,56,42,160,7.79,7.79,0,4172.6,1,-344.4,0,0,0,61.59,-5.29,-4.4
54534411,201805,1,26,0,674.69,3661.07,10.98,26,20,56,10.98,10.98,0,0,0,-52.82,0,0,0,10.32,-1.93,3.57
17542404,201806,0,28,52.95,3483.44,12470.18,7870.36,28,61,371,7870.36,7870.36,0,116.67,1,-961.41,0,0,0,29.16,1.59,-0.49
55726317,201803,0,16,7610,0,0,9549.86,16,27,10,40.97,10040.97,0,1270,1,605.5,0,-380900,-0.79,16.3,-1.37,1.2
53605683,201806,1,7,0,0,0,13.04,7,0,95,13.04,13.04,0,15398.9,1,-14828.66,0,0,0,7.55,10,-1.57
56040643,201805,1,9,929159.82,0,2690.74,319513.92,10,44,0,319513.92,319513.92,0,947807.63,1,309719.94,-1,0,0,?,1.43,?
78802365,201804,0,90,891.94,3222.33,10506.88,17931.44,90,38,108,9440.92,19045.92,0,288.38,1,0,0,0,0,82.97,-0.75,0
50612654,201807,0,10,783.85,0,0,36323.49,10,65,214,1026.57,120126.57,0,724.18,1,46.29,0,0,-0.03,11.11,-2.63,-0.51
55844551,201807,0,29,94.08,3941.92,13796.73,572763.1,29,57,10,9722.6,584722.6,0,1233.33,1,-451.29,0,0,-0.01,24.95,-0.63,0.23
53736946,201805,1,180,1010,0,0,113826.35,180,60,87,113826.35,113826.35,0,246.67,0,-11.9,0,0,0,136.34,12.77,13.6
52719712,201806,1,136,37.05,10924.16,34721.76,368207.65,136,40,131,16879.36,469079.36,0,24.7,1,400.91,0,0,-0.02,146.6,6.87,1.89
52114890,201807,1,17,13867.44,0,0,1960967.29,17,13,132,1960967.29,2059036.29,0,1879.73,0,18382.74,0,0,0,25.37,5.5,-1.34
55935924,201804,1,43,267.1,1513.8,8014.67,192.14,43,28,3,0.03,0.03,0,324.2,1,148.81,-1,0,0,78.35,7.2,10.9
54979342,201806,0,69,276.95,0,22668,34391.69,69,53,40,33721.25,39721.25,0,136.67,1,-104.84,0,0,0,79.62,-7.53,-5.46
50743879,201805,0,15,982.51,982.51,1271.4,132.18,15,43,164,29.37,29.37,0,0,0,31.41,0,0,0,10.27,0.26,2.14
77768128,201807,0,79,3032.86,0,0,2039.11,79,41,101,0,2000,0,3525.75,1,0,0,0,0,96.54,21.02,0
55860562,201805,0,52,54855.2,0,0,176914.31,52,0,7,176914.31,176914.31,0,0,0,26713.8,1,0,0,13.91,18.05,7.8
50947839,201803,0,89,33,4854.41,15595.75,390160.86,89,40,197,2191.93,412691.93,0,0,1,-48,0,0,0,80.16,5.6,5
54108242,201804,1,19,475.01,0,0,80845.22,19,60,67,0,89716,0,348.35,0,95.37,0,0,0,13.8,0.23,1.77
