Cl_Property_ID,CL_Contract_Price,CL_Transfer_Date,Cl_History_From,Cl_Est_Land_Area,Cl_Equiv_Building_Area,Cl_Floor_Area,Cl_Bedrooms,Cl_Bathrooms,Cl_Car_Spaces,Cl_Garages,Cl_Year_Built,Cl_Materials_In_Roof,Cl_Materials_In_External_Walls,Cl_Materials_In_Floor,Cl_Bond_Amount,Cl_Access_Security_Installed,Cl_Air_Conditioned,Cl_Architectural_Style,Cl_Close_To_Public_Transport,Cl_Condition,Cl_Construction_Type,Cl_Dining_Rooms,Cl_Ensuites,Cl_Family_Rooms,Cl_Fireplace,Cl_Floor_Level_Of_Unit,Cl_Frontage,Cl_Lounge_Rooms,Cl_Street_Frontage_Size,Cl_Games_Rooms,Cl_Kitchens,Cl_Meal_Rooms,Cl_Study_Rooms,Cl_Floor_Levels_Inside_Unit,Cl_On_Main_Road,Cl_Renovated,Cl_Scenic_View,Cl_Swimming_Pool,Cl_Toilets,Cl_Heritage_Flag,CL_Property_Type,CL_Unit_No,CL_Unit_No_Derived,CL_Street_No_Start,CL_Street_No_End,CL_Street_Name,CL_Street_Type,CL_Street_Direction,CL_Suburb,CL_Postcode,CL_State,CL_Land_Area
4266431,290000,7/12/2017,30/11/2017,682,?,104,3,1,1,1,1995,Metal Deck,Brickveneer,Carpet Floor,1460,?,Y,?,?,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,1,?,House,?,?,11,?,Giltrow,Court,?,Darling Heights,4350,QLD,682
1326996,700000,10/01/2012,20/12/2011,696,?,182,4,3,2,2,?,?,?,?,?,Y,Y,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,Y,?,?,House,?,?,3,?,Batavia,Place,?,Baulkham Hills,2153,NSW,750
8269164,220000,23/11/2015,24/06/2014,119,?,?,3,1,2,?,?,?,?,?,1200,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,Unit,3,?,21,23,Reid,Road,?,Wongaling Beach,4852,QLD,154
1890172,480000,1/05/2012,28/02/2012,94,?,?,2,1,?,1,1968,?,?,Timber Floor,1920,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unit,6,?,11,?,Jenkins,Street,?,Collaroy,2097,NSW,94
4451214,215000,22/01/2015,11/01/2015,199,?,2,2,1,1,1,?,?,?,Carpet Floor,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,2,?,Unit,1,?,50,?,Castile,Crescent,?,Edens Landing,4207,QLD,?
43361709,402050,18/06/2018,24/05/2018,2887,?,88,2,2,?,?,2010,Suspended concrete slab,Rendered masonry,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,Lot 709,?,6,?,Aqua,Street,?,Southport,4215,QLD,130
18024966,429000,13/07/2015,13/05/2015,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unit,14,?,273,?,Beaufort,Street,?,Perth,6000,WA,70
17005825,295000,10/10/2014,10/10/2014,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,43,?,Lind,Road,?,Johnston,832,NT,800
15898678,177000,3/11/2011,3/11/2011,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,10,?,Maiden,Drive,?,Sunbury,3429,VIC,?
7681117,308000,13/10/2012,15/02/2012,?,?,95,2,2,?,1,?,?,?,?,?,?,Y,?,?,?,?,?,1,?,?,6,?,?,?,?,?,?,?,1,?,?,Y,?,?,?,Unit,703,?,18,?,Enderley,Avenue,?,Surfers Paradise,4217,QLD,?
