Cl_Property_ID,CL_Contract_Price,CL_Transfer_Date,Cl_History_From,Cl_Est_Land_Area,Cl_Equiv_Building_Area,Cl_Floor_Area,Cl_Bedrooms,Cl_Bathrooms,Cl_Car_Spaces,Cl_Garages,Cl_Year_Built,Cl_Materials_In_Roof,Cl_Materials_In_External_Walls,Cl_Materials_In_Floor,Cl_Bond_Amount,Cl_Access_Security_Installed,Cl_Air_Conditioned,Cl_Architectural_Style,Cl_Close_To_Public_Transport,Cl_Condition,Cl_Construction_Type,Cl_Dining_Rooms,Cl_Ensuites,Cl_Family_Rooms,Cl_Fireplace,Cl_Floor_Level_Of_Unit,Cl_Frontage,Cl_Lounge_Rooms,Cl_Street_Frontage_Size,Cl_Games_Rooms,Cl_Kitchens,Cl_Meal_Rooms,Cl_Study_Rooms,Cl_Floor_Levels_Inside_Unit,Cl_On_Main_Road,Cl_Renovated,Cl_Scenic_View,Cl_Swimming_Pool,Cl_Toilets,Cl_Heritage_Flag,CL_Property_Type,CL_Unit_No,CL_Unit_No_Derived,CL_Street_No_Start,CL_Street_No_End,CL_Street_Name,CL_Street_Type,CL_Street_Direction,CL_Suburb,CL_Postcode,CL_State,CL_Land_Area
9858414,1190000,15/09/2018,12/06/2018,731,?,0,4,2,1,1,2001,OTHER,OTHER,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Y,?,?,House,?,?,135,?,Brisbane,Street,?,Berwick,3806,VIC,656
9858454,505000,21/12/2016,21/12/2016,788,?,?,3,2,2,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,House,?,?,9,?,Broxburn,Court,?,Berwick,3806,VIC,786
9879344,350000,20/04/2013,12/01/2013,953,?,?,3,1,4,4,1985,?,?,?,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,28,?,Flinders,Street,?,Bittern,3918,VIC,954
9915929,202500,27/11/2013,27/11/2013,?,?,56,2,1,?,?,1970,Other,Doublebrick,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unit,3,?,3,?,Croydon,Road,?,Keswick,5035,SA,?
10000122,540000,26/07/2018,4/06/2018,878,?,?,3,1,4,?,?,?,?,?,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,House,?,?,12,?,Coolah,Terrace,?,Marion,5043,SA,910
10006959,390000,16/10/2013,16/10/2013,696,127,127,4,2,2,5,1985,Other,Other,?,?,?,?,Ranch,?,Good,?,?,1,?,?,?,18.59,?,18.59,?,?,?,?,?,?,?,?,?,?,?,House,?,?,5,?,Siesta,Crescent,?,Maslin Beach,5170,SA,696
10011551,390000,6/11/2013,6/11/2013,300,?,150,3,2,1,1,2005,Colorbond,Brick Veneer,Tiled Floor,?,Y,Y,Hqconvenl,?,Good,?,?,1,?,?,?,10,?,10,?,?,?,?,?,?,?,?,?,?,?,House,?,?,15,?,Mallard,Crescent,?,Mawson Lakes,5095,SA,300
10022573,381000,29/02/2012,1/02/2012,788,160,152,3,2,2,2,1990,Tiled,Brick,Carpet Floor,?,?,Y,Convenl,?,Good,?,?,1,?,?,?,21,?,21,?,?,?,?,?,?,?,?,?,?,?,House,?,?,21,?,Valley View,Drive,?,Mclaren Vale,5171,SA,788
10022858,600000,29/08/2019,26/08/2019,1093,164,269,5,3,4,0,1979,CONCRETE,OTHER,?,?,?,?,Convenl,?,Good,?,?,?,?,?,?,33.12,?,33.12,?,?,?,?,?,?,?,?,?,?,?,House,?,?,7,?,West Park,Way,?,Mclaren Vale,5171,SA,1093
10025152,920000,21/05/2011,21/05/2011,521,?,?,2,1,1,1,?,?,?,?,1950,?,?,?,?,?,?,1,?,1,?,?,?,1,?,?,?,?,?,?,?,Y,?,?,2,?,House,?,?,98,?,Well,Street,?,Brighton,3186,VIC,526
10037473,300000,24/10/2016,27/07/2016,4000,196,152,4,2,4,2,2013,Galvanised Iron,Rendered,?,?,?,?,Convenl,?,Good,?,?,2,?,?,?,63.95,?,63.95,?,?,?,?,?,?,?,?,?,1,?,House,?,?,4,?,Baker,Court,?,Millicent,5280,SA,4000
10070129,760000,14/08/2018,29/11/2017,97000,?,?,5,2,4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,15,?,Goldfields,Road,?,Moppa,5355,SA,97080
10076153,243500,1/07/2016,2/10/2015,747,101,89,2,1,2,1,1985,Tile,Brick,Carpet Floor,1800,?,Y,Convenl,?,Good,?,?,?,?,?,?,19.81,?,19.81,?,?,?,?,?,?,?,?,?,1,?,Unit,1,?,2,?,Ellis,Avenue,?,Morphett Vale,5162,SA,?
10083436,0,1/08/2016,27/07/2016,599,157,157,4,2,?,?,1993,Tiled,Brick,?,?,?,?,Convenl,?,Good,?,?,1,?,?,?,21,?,21,?,?,?,?,?,?,?,?,?,?,?,House,?,?,5,?,Ormiston,Road,?,Morphett Vale,5162,SA,597
10121717,167000,8/10/2014,28/09/2014,316,99,?,2,1,1,?,1989,Tiled,Brick,?,?,?,?,Convenl,?,Good,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,4,?,Shadylyn,Close,?,Mount Gambier,5290,SA,316
10152965,640000,7/11/2014,7/11/2014,12300,?,?,4,2,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,77.5,?,77.5,?,?,?,?,?,?,?,?,?,?,?,House,?,?,16,?,Mckenny,Street,?,Nairne,5252,SA,12570
