GCIS_KEY,PERIOD_ID,TARGET_F,MBNCZZ_CUST_INIT_TRAN_COUNT,MBNCZZ_CUR_OTH_DEP_AMT,CINCZZ_EXPLICIT_INCOME,MBNCZZ_CUR_SAL_CREDIT_AMT,MBNCZZ_ABS_SPOT_AMT,CPNCZZ_MFI_TRAN_COUNT,CUNCZZ_AGE_YEARS,CPNCZZ_REL_AGE_IN_MTH,MBNCZZ_DEP_SPOT_BAL_AMT,CFNCZZ_ACC_TO_FUNDS,CPBCZZ_ACCT_CLOSE_IND,MBNHMI_AVG_OTH_DEP_AMT,MBBHMI_EVERYDAY_BANKER_IND,TRNHDL_AVG_DEPOSIT_AMT,MBOHDL_QUALITY_DEP_IND,CONHDL_SECURITY_AMT,CFNHDL_CURRENT_LVR,MBNHIC_AVG_CUST_INIT_TRAN_C,CMNHDL_FULL_FI_AMT,TRNHSL_TOT_WITHDRAWAL_CNT
54486496,201806,0,low,lower,low,low,mid,low,lower,low,high,mid,No,lower,Yes,mid,0,low,low,low,mid,low
54150567,201807,0,high,low,low,high,mid,high,mid,low,high,mid,No,mid,Yes,high,0,low,low,higher,lower,mid
41042014,201805,0,higher,high,high,high,higher,higher,higher,higher,mid,higher,No,high,Yes,low,0,low,low,higher,high,higher
31756935,201807,0,mid,high,high,high,higher,mid,high,high,high,higher,No,high,Yes,mid,0,low,low,mid,high,mid
52442349,201805,1,mid,lower,low,low,lower,mid,low,mid,lower,lower,No,low,No,high,0,low,low,mid,lower,higher
52951401,201806,1,low,high,low,low,low,low,lower,mid,low,low,No,higher,Yes,low,0,low,low,low,mid,low
54998930,201803,0,low,mid,mid,high,high,low,high,lower,higher,high,No,low,Yes,low,0,low,low,low,lower,mid
41839727,201805,1,low,mid,low,low,mid,low,higher,high,high,mid,No,mid,Yes,mid,0,low,low,low,mid,mid
56040160,201807,1,low,higher,low,low,lower,low,lower,lower,lower,lower,No,lower,No,higher,-1,low,low,low,higher,higher
54006836,201805,1,high,mid,low,low,lower,high,lower,low,low,lower,No,mid,No,mid,1,low,low,mid,low,higher
51905162,201806,0,higher,higher,low,low,high,higher,lower,mid,higher,high,No,higher,Yes,mid,0,low,low,higher,higher,low
55802731,201807,1,higher,high,low,low,low,higher,mid,lower,low,low,No,low,No,mid,1,low,low,higher,higher,higher
